"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Mar 08 12:44:07 GMT 2025","Sat Mar 08 12:44:07 GMT 2025","693","PFLB Poligon SmokeTests","Tests","tests.uiTests.CreditTest","tests.uiTests.CreditTest","testAddMoneyNonExistentUser","Ввод некорректного id и суммы.",""
"passed","Sat Mar 08 12:31:42 GMT 2025","Sat Mar 08 12:31:42 GMT 2025","268","PFLB Poligon SmokeTests","Tests","tests.uiTests.LoginTest","tests.uiTests.LoginTest","fieldPasswordEmptyLogin","fieldPasswordEmptyLogin",""
"passed","Sat Mar 08 12:44:59 GMT 2025","Sat Mar 08 12:45:01 GMT 2025","1716","PFLB Poligon SmokeTests","Tests","tests.apiTests.CarApiTest","tests.apiTests.CarApiTest","getCarTest","Проверка получения атрибутов по ID автомобиля","Проверка получения атрибутов по ID автомобиля"
"passed","Sat Mar 08 12:44:44 GMT 2025","Sat Mar 08 12:44:47 GMT 2025","2614","PFLB Poligon SmokeTests","Tests","tests.apiTests.HouseApiTest","tests.apiTests.HouseApiTest","createHouse","createHouse","Проверка создания нового дома с корректными параметрами"
"passed","Sat Mar 08 12:33:27 GMT 2025","Sat Mar 08 12:33:42 GMT 2025","14823","PFLB Poligon SmokeTests","Tests","tests.uiTests.CreateNewUserTest","tests.uiTests.CreateNewUserTest","checkNotCreatedUserTest","Проверка отсутствия создания пользователя с Некорректными данными","Проверка отсутствия создания пользователя с Некорректными данными"
"passed","Sat Mar 08 12:35:37 GMT 2025","Sat Mar 08 12:35:47 GMT 2025","10747","PFLB Poligon SmokeTests","Tests","tests.uiTests.CreateNewUserTest","tests.uiTests.CreateNewUserTest","deleteUserTest","Проверка удаления пользователя с корректным ID","Проверка удаления пользователя с корректным ID"
"passed","Sat Mar 08 12:41:26 GMT 2025","Sat Mar 08 12:41:27 GMT 2025","692","PFLB Poligon SmokeTests","Tests","tests.uiTests.PlusMoneyTest","tests.uiTests.PlusMoneyTest","testAddMoneyNonExistentUser","Ввод некорректного id и суммы.",""
"passed","Sat Mar 08 12:44:47 GMT 2025","Sat Mar 08 12:44:49 GMT 2025","2603","PFLB Poligon SmokeTests","Tests","tests.apiTests.HouseApiTest","tests.apiTests.HouseApiTest","deleteHouse","deleteHouse","Проверка удаления нового дома с корректными параметрами"
"passed","Sat Mar 08 12:31:45 GMT 2025","Sat Mar 08 12:31:45 GMT 2025","348","PFLB Poligon SmokeTests","Tests","tests.uiTests.LoginTest","tests.uiTests.LoginTest","incorrectLogin","incorrectLogin",""
"passed","Sat Mar 08 12:34:42 GMT 2025","Sat Mar 08 12:34:57 GMT 2025","14810","PFLB Poligon SmokeTests","Tests","tests.uiTests.CreateNewUserTest","tests.uiTests.CreateNewUserTest","checkNotCreatedUserTest","Проверка отсутствия создания пользователя с Некорректными данными","Проверка отсутствия создания пользователя с Некорректными данными"
"passed","Sat Mar 08 12:44:34 GMT 2025","Sat Mar 08 12:44:35 GMT 2025","1795","PFLB Poligon SmokeTests","Tests","tests.apiTests.UserApiTest","tests.apiTests.UserApiTest","getUserTest","Проверка получения атрибутов по ID пользователя","Проверка получения атрибутов по ID пользователя"
"passed","Sat Mar 08 12:32:30 GMT 2025","Sat Mar 08 12:32:37 GMT 2025","6589","PFLB Poligon SmokeTests","Tests","tests.uiTests.CheckInCheckOutTest","tests.uiTests.CheckInCheckOutTest","incorrectEvictUserTest","incorrectEvictUserTest",""
"passed","Sat Mar 08 12:34:05 GMT 2025","Sat Mar 08 12:34:19 GMT 2025","14610","PFLB Poligon SmokeTests","Tests","tests.uiTests.CreateNewUserTest","tests.uiTests.CreateNewUserTest","checkNotCreatedUserTest","Проверка отсутствия создания пользователя с Некорректными данными","Проверка отсутствия создания пользователя с Некорректными данными"
"passed","Sat Mar 08 12:38:22 GMT 2025","Sat Mar 08 12:38:26 GMT 2025","4514","PFLB Poligon SmokeTests","Tests","tests.uiTests.CreateNewHouseTest","tests.uiTests.CreateNewHouseTest","createNewHouse","Проверка создания дома со всеми заполненными полями","Проверка создания дома со всеми заполненными полями"
"passed","Sat Mar 08 12:35:16 GMT 2025","Sat Mar 08 12:35:20 GMT 2025","4491","PFLB Poligon SmokeTests","Tests","tests.uiTests.CreateNewUserTest","tests.uiTests.CreateNewUserTest","createUserTest","Проверка создания пользователя с корректными данными","Проверка создания пользователя с корректными данными"
"passed","Sat Mar 08 12:41:53 GMT 2025","Sat Mar 08 12:43:54 GMT 2025","121132","PFLB Poligon SmokeTests","Tests","tests.uiTests.CreditTest","tests.uiTests.CreditTest","testLoanFailure","Ввод корректного id и суммы.",""
"passed","Sat Mar 08 12:31:51 GMT 2025","Sat Mar 08 12:31:51 GMT 2025","382","PFLB Poligon SmokeTests","Tests","tests.uiTests.LoginTest","tests.uiTests.LoginTest","incorrectPasswordAndEmail","incorrectPasswordAndEmail",""
"passed","Sat Mar 08 12:45:11 GMT 2025","Sat Mar 08 12:45:13 GMT 2025","1514","PFLB Poligon SmokeTests","Tests","tests.dbTests.CarDbTest","tests.dbTests.CarDbTest","checkUserDBTest","Проверка информации по Car в БД","Проверка информации по Car в БД"
"passed","Sat Mar 08 12:38:08 GMT 2025","Sat Mar 08 12:38:13 GMT 2025","5000","PFLB Poligon SmokeTests","Tests","tests.uiTests.CreateNewHouseTest","tests.uiTests.CreateNewHouseTest","checkHouseById","Проверка получения данных о доме по ID","Проверка получения данных о доме по ID"
"passed","Sat Mar 08 12:40:22 GMT 2025","Sat Mar 08 12:40:26 GMT 2025","4416","PFLB Poligon SmokeTests","Tests","tests.uiTests.CreateNewHouseTest","tests.uiTests.CreateNewHouseTest","createNewHouseNoParking","Проверка создания дома без паркинга","Проверка создания дома без паркинга"
"passed","Sat Mar 08 12:39:07 GMT 2025","Sat Mar 08 12:39:22 GMT 2025","14818","PFLB Poligon SmokeTests","Tests","tests.uiTests.CreateNewHouseTest","tests.uiTests.CreateNewHouseTest","createNewHouseNegative","Проверка отказа создания дома с невалидными данными","Проверка отказа создания дома с невалидными данными"
"passed","Sat Mar 08 12:31:31 GMT 2025","Sat Mar 08 12:31:33 GMT 2025","1368","PFLB Poligon SmokeTests","Tests","tests.uiTests.LoginTest","tests.uiTests.LoginTest","correctLogin","correctLogin",""
